[Planets]
planet1="1,9967,5,-1,16,7,11,0,0,0,0"
planet2="2,19151,10,-1,19,11,5,1,0,0,0"
planet3="3,2570,1,-1,12,50,8,0,0,0,0"
planet4="4,8582,4,-1,23,2,11,0,0,0,0"
planet5="5,16394,9,-1,3,14,3,0,0,0,0"
planet6="6,17593,9,-1,23,13,4,0,0,0,0"
planet7="7,5888,3,-1,8,8,9,0,0,1,0"
planet8="8,15630,8,-1,20,30,3,0,0,0,0"
planet9="9,5935,3,-1,8,55,9,0,0,1,0"
planet10="10,10481,5,-1,24,41,12,0,0,1,0"
planet11="11,6608,3,-1,20,8,10,0,0,1,0"
planet12="12,5228,2,-1,27,8,9,0,0,1,0"
planet13="13,16028,8,-1,27,8,3,0,0,1,0"
planet14="14,4963,2,-1,22,43,9,0,0,0,0"
planet15="15,15763,8,-1,22,43,3,0,0,0,0"
[Houses]
house1=10078
house2=11524
house3=13259
house4=15176
house5=17203
house6=19162
house7=20878
house8=724
house9=2459
house10=4376
house11=6403
house12=8362
[Aspects]
aspect1="2,2,4,6"
aspect2="2,3,3,3"
aspect3="2,4,6,0"
aspect4="2,7,1,1"
aspect5="2,9,9,0"
aspect6="2,10,8,0"
aspect7="2,13,2,3"
aspect8="2,14,1,3"
aspect9="3,5,11,1"
aspect10="3,6,1,4"
aspect11="3,7,9,1"
aspect12="3,8,1,3"
aspect13="3,11,6,0"
aspect14="3,12,7,0"
aspect15="4,5,8,0"
aspect16="4,6,6,0"
aspect17="4,7,2,2"
aspect18="4,8,6,0"
aspect19="4,9,5,1"
aspect20="4,11,1,4"
aspect21="4,12,2,4"
aspect22="4,13,1,0"
aspect23="4,14,2,0"
aspect24="5,6,3,4"
aspect25="5,8,3,5"
aspect26="5,11,3,6"
aspect27="5,12,0,6"
aspect28="6,9,2,1"
aspect29="6,10,3,3"
aspect30="6,13,8,0"
aspect31="6,14,5,0"
aspect32="7,8,0,0"
aspect33="8,9,4,4"
aspect34="8,10,8,0"
aspect35="8,11,3,6"
aspect36="8,12,0,6"
aspect37="8,13,3,2"
aspect38="8,14,0,2"
aspect39="10,10,1,4"
aspect40="10,11,4,2"
aspect41="10,12,4,2"
aspect42="10,13,4,1"
aspect43="10,14,4,1"
aspect44="12,13,0,4"
aspect45="12,14,3,4"
aspect46="13,13,3,4"
aspect47="13,14,0,4"
